nsa_name,temp_mean,temp_median,temp_min,temp_max
Dolfield,25.319475546110098,25.309775352478,24.4101905822754,24.8860092163086
Dorchester,24.918394244892966,24.9020495414734,24.5190906524658,24.7830638885498
Downtown,26.957137271689827,26.9303035736084,26.2630634307861,26.3824367523193
Downtown West,26.825944677136064,26.7487020492554,26.228982925415,26.5900764465332
Druid Heights,26.20131456282001,26.2049913406372,25.9507007598877,26.0140533447266
Druid Hill Park,25.09564602737203,25.0682907104492,23.9447174072266,24.3320598602295
Dunbar-Broadway,26.862388741517545,26.8874034881592,26.6496391296387,26.7611770629883
Dundalk Marine Terminal,26.84285242942644,26.9168090820312,25.4366397857666,26.4353542327881
East Arlington,25.286434888067344,25.2535829544067,24.9428596496582,24.9933261871338
East Baltimore Midway,26.669926723840263,26.667516708374052,26.4195232391357,26.5494403839111
Easterwood,25.675739579474165,25.6850662231445,25.1456069946289,25.6084671020508
Eastwood,26.93957511755265,26.93603467941285,26.7558403015137,26.9559669494629
Edgewood,25.161146962192316,25.1972532272339,24.1305770874023,24.5671825408936
Edmondson Village,25.084918067598647,25.3016242980957,23.5438766479492,24.1239929199219
Ednor Gardens-Lakeside,25.277667857278725,25.2831592559814,24.7859725952148,24.8572998046875
Ellwood Park/Monument,26.859663061182363,26.8411359786987,26.4509696960449,26.6178493499756
Evergreen,23.892576318148357,23.8828058242798,23.6735897064209,23.8519802093506
Evergreen Lawn,25.578441814960982,25.58316040039065,25.4504375457764,25.5905895233154
Evesham Park,24.23152774574729,24.2378673553467,23.9402236938477,24.1707973480225
Fairfield Area,26.40282189911457,26.3998584747314,24.9225997924805,25.6438503265381
Fairmont,23.866818798917038,23.7513561248779,23.3446941375732,23.7520427703857
Fallstaff,24.836665536159256,24.826545715332,24.256519317627,24.4030799865723
Federal Hill,26.93265591897915,26.9277372360229,26.5784969329834,26.6369972229004
Fells Point,26.90479310678665,26.90410804748535,26.381519317627,26.582820892334
Forest Park,24.752785685196535,24.673511505127,24.3594970703125,24.6025066375732
