geoid10,name,population_2010
245100103001019,"Block 1019, Block Group 1, Census Tract 103, Baltimore city, Maryland",89
245100103001020,"Block 1020, Block Group 1, Census Tract 103, Baltimore city, Maryland",89
245100103001021,"Block 1021, Block Group 1, Census Tract 103, Baltimore city, Maryland",113
245100103001022,"Block 1022, Block Group 1, Census Tract 103, Baltimore city, Maryland",81
245100103001023,"Block 1023, Block Group 1, Census Tract 103, Baltimore city, Maryland",84
245100103002000,"Block 2000, Block Group 2, Census Tract 103, Baltimore city, Maryland",90
245100103002001,"Block 2001, Block Group 2, Census Tract 103, Baltimore city, Maryland",81
245100103002002,"Block 2002, Block Group 2, Census Tract 103, Baltimore city, Maryland",18
245100103002003,"Block 2003, Block Group 2, Census Tract 103, Baltimore city, Maryland",0
245100103002004,"Block 2004, Block Group 2, Census Tract 103, Baltimore city, Maryland",84
245100103002005,"Block 2005, Block Group 2, Census Tract 103, Baltimore city, Maryland",50
245100103002006,"Block 2006, Block Group 2, Census Tract 103, Baltimore city, Maryland",39
245100103002007,"Block 2007, Block Group 2, Census Tract 103, Baltimore city, Maryland",86
245100103002008,"Block 2008, Block Group 2, Census Tract 103, Baltimore city, Maryland",84
245100103002009,"Block 2009, Block Group 2, Census Tract 103, Baltimore city, Maryland",76
245100103002010,"Block 2010, Block Group 2, Census Tract 103, Baltimore city, Maryland",27
245100103002011,"Block 2011, Block Group 2, Census Tract 103, Baltimore city, Maryland",49
245100103002012,"Block 2012, Block Group 2, Census Tract 103, Baltimore city, Maryland",77
245100103002013,"Block 2013, Block Group 2, Census Tract 103, Baltimore city, Maryland",67
245100103002014,"Block 2014, Block Group 2, Census Tract 103, Baltimore city, Maryland",81
245100103002015,"Block 2015, Block Group 2, Census Tract 103, Baltimore city, Maryland",79
245100103002016,"Block 2016, Block Group 2, Census Tract 103, Baltimore city, Maryland",93
245100103002017,"Block 2017, Block Group 2, Census Tract 103, Baltimore city, Maryland",78
245100103002018,"Block 2018, Block Group 2, Census Tract 103, Baltimore city, Maryland",76
245100103002019,"Block 2019, Block Group 2, Census Tract 103, Baltimore city, Maryland",32
