nsa_name,temp_mean,temp_median,temp_min,temp_max
Hamilton Hills,34.421067521628764,34.3619995117188,32.9989929199219,33.8783645629883
Hampden,35.243858154634594,35.277617454528794,33.2769012451172,34.3064079284668
Hanlon-Longwood,34.70192834171618,34.76232051849365,32.6754493713379,33.6457901000977
Harlem Park,35.137666394981814,35.141264915466294,34.2124214172363,34.9547691345215
Harwood,36.116600932418514,36.09964752197265,35.7357063293457,36.0979957580566
Hawkins Point,35.09076185192517,35.0627536773682,32.2153701782227,34.6814613342285
Heritage Crossing,35.43079922941796,35.2853965759277,34.830924987793,35.2915191650391
Herring Run Park,33.74325819954862,34.0389795303345,30.7754707336426,35.0639114379883
Highlandtown,35.779959612884056,35.7555198669434,34.8658981323242,35.3892936706543
Hillen,34.78576500662565,34.7802667617798,34.2764320373535,34.6602439880371
Hoes Heights,34.85653738025334,34.7422637939453,33.968879699707,34.3918037414551
Holabird Industrial Park,34.840313725564855,35.016698837280245,33.0664710998535,33.9235916137695
Hollins Market,35.257400064603594,35.194974899292006,34.117977142334,34.6342887878418
Homeland,34.042573148961885,34.0274620056152,32.7803001403809,33.3983383178711
Hopkins Bayview,34.81184101835122,34.7673301696777,33.5307464599609,34.1865882873535
Howard Park,34.07356120598466,34.11579036712645,30.7091541290283,32.8582458496094
Hunting Ridge,34.07960501556244,34.2389717102051,30.6411590576172,34.1931343078613
Idlewood,34.45060549407664,34.4850196838379,33.6266899108887,34.2173194885254
Inner Harbor,34.89253669721637,34.9681930541992,33.5382690429688,34.4181594848633
Irvington,34.37351435404399,34.3680000305176,31.4497776031494,33.8024635314941
Johns Hopkins Homewood,34.72812382153137,34.699229240417495,32.8318519592285,34.573860168457
Johnston Square,36.08049252160759,36.086931228637695,35.5526428222656,35.8818588256836
Jones Falls Area,35.29623058184594,35.4765739440918,33.3960647583008,34.2902679443359
Jonestown,35.608526270730806,35.403010368347196,34.455638885498,35.0213508605957
Kenilworth Park,34.408783994028745,34.4021759033203,34.068431854248,34.3223571777344
Kernewood,34.445062881730586,34.4564895629883,33.7479934692383,34.2464141845703
Keswick,34.60992132004435,34.72901725769045,31.5030937194824,34.448127746582
Kresson,35.61617885972726,35.6931381225586,34.3740997314453,35.1815032958984
Lake Evesham,34.20642468056517,34.1800603866577,33.6941719055176,34.1515579223633
Lake Walker,34.20348586939286,34.20830631256105,32.8265266418457,34.1008224487305
Lakeland,35.076721400622674,35.1032772064209,33.8430976867676,34.5932006835938
Langston Hughes,35.615889547025716,35.605615615844755,35.3282356262207,35.5376129150391
Lauraville,34.23612503070837,34.2190399169922,31.8504009246826,33.94775390625
Levindale,34.829062983637556,34.8488922119141,33.4781265258789,34.1489715576172
Liberty Square,34.96209218740084,34.9619083404541,34.2729873657227,34.994010925293
Little Italy,35.10886818125398,35.0751886367798,34.7542762756348,34.9915885925293
Loch Raven,34.68342350474793,34.7301826477051,30.6528930664062,34.3520584106445
Locust Point,34.98164915303355,34.9679145812988,34.0524482727051,34.5771141052246
Locust Point Industrial Area,34.912207919460194,34.925350189209,33.5076751708984,34.6719589233398
Lower Edmondson Village,34.794525373040415,34.8009405136108,34.5712509155273,34.7380485534668
Lower Herring Run Park,34.45422501587472,34.434339523315444,32.5710525512695,34.6059379577637
Loyola/Notre Dame,34.70779638464365,34.8394584655762,32.5218162536621,34.7151832580566
Lucille Park,35.45320993142368,35.470685958862305,35.1439361572266,35.335521697998
Madison Park,35.80180075868385,35.83172988891605,35.097412109375,35.2861671447754
Madison-Eastend,36.63405498565509,36.644225120544405,35.4296684265137,36.393383026123
Mayfield,34.760390469372425,34.6608600616455,34.0255546569824,34.2357139587402
McElderry Park,37.44113793412235,37.39040184021,36.4489440917969,36.8442230224609
Medfield,34.84936743087636,34.85617542266845,33.4110069274902,34.1773147583008
Medford,35.203334919677914,35.1915836334229,35.0206031799316,35.1608772277832
Mid-Govans,34.451292896577236,34.4004383087158,34.0003242492676,34.4843559265137
Mid-Town Belvedere,36.193956591653944,36.1908531188965,35.5576629638672,35.8740844726562
Middle Branch/Reedbird Parks,34.816971842966915,34.8312950134277,32.8385124206543,34.6693687438965
Middle East,35.694884584739796,35.5015850067139,34.9172821044922,35.1332817077637
Midtown-Edmondson,35.29689661284899,35.3042545318604,34.499137878418,35.2143783569336
Millhill,35.30416993818071,35.3519077301025,34.281551361084,35.1549949645996
Milton-Montford,37.39656463292668,37.3678741455078,36.7035942077637,37.2983093261719
Mondawmin,35.51314829504778,35.5343627929688,34.9515419006348,35.2750816345215
Montebello,34.91830325920129,34.8906497955322,31.0047473907471,34.6727828979492
Moravia-Walther,34.601096023845756,34.559287071228,34.127571105957,34.5243988037109
Morgan Park,34.007469313500174,33.959258079528794,32.842700958252,34.1608581542969
Morgan State University,34.60139842858451,34.6249599456787,32.0271301269531,34.2772827148438
Morrell Park,35.303598678585765,35.30128574371335,33.2112655639648,34.9327201843262
Mosher,35.215761094669396,35.254357337951646,34.3647193908691,34.9561576843262
Mount Holly,34.06697168994385,34.0528545379639,32.0629043579102,33.4274787902832
Mount Vernon,36.20124928422697,36.3374328613281,34.8651123046875,35.4849014282227
Mount Washington,33.54708510768176,33.6578216552734,30.6837940216064,32.0802268981934
Mount Winans,35.16011616843268,35.20951461791995,34.1248359680176,35.1484260559082
Mt Pleasant Park,33.76730470400424,33.7680444717407,31.5989532470703,33.5257949829102
New Northwood,34.6168880813227,34.619724273681655,33.4732093811035,34.3484382629395
New Southwest/Mount Clare,35.33209393034898,35.3149719238281,33.733211517334,35.1178932189941
North Harford Road,34.371458465949765,34.3632755279541,33.5049591064453,34.1598777770996
North Roland Park/Poplar Hill,34.33311692884416,34.45222759246825,30.7285537719727,33.5391082763672
Northwest Community Action,34.90247693239147,34.9133682250977,33.527946472168,34.7223167419434
O'Donnell Heights,35.150607381860034,35.14629459381105,34.8877258300781,35.0280799865723
Oakenshawe,35.57442708382522,35.66995811462405,34.3073196411133,35.1221237182617
Oaklee,34.6795142439837,34.6499061584473,34.3706092834473,34.5890617370605
Old Goucher,36.624108231529405,36.6589584350586,36.0645408630371,36.4494247436523
Oldtown,36.51219103695887,36.5,35.6824417114258,36.1496696472168
Oliver,36.13363344452613,36.1928205490112,35.2213668823242,35.6820297241211
Orangeville,35.38728655274603,35.3058433532715,34.6441802978516,34.8840217590332
Orangeville Industrial Area,35.355107911727714,35.2260360717773,34.4454727172852,35.0001945495605
Orchard Ridge,34.97591853029103,35.09762954711915,33.0171928405762,34.4176712036133
Original Northwood,34.47017911956304,34.480110168457,33.8173027038574,34.1138725280762
Otterbein,34.97471161968657,34.9324760437012,34.6691284179688,34.8002586364746
Overlea,34.305974115157724,34.297004699707,31.8616828918457,34.1955451965332
Panway/Braddish Avenue,34.87751973765621,34.7316131591797,34.1671447753906,34.5127143859863
Park Circle,34.74589161788752,34.80476093292235,32.6622200012207,34.0489883422852
Parklane,34.68649906691555,34.7168674468994,33.8574333190918,34.1441268920898
Parkside,34.657999610321376,34.7394771575928,32.6175003051758,34.1229705810547
Parkview/Woodbrook,35.365140871911,35.4985466003418,34.248477935791,34.7749481201172
Patterson Park,35.083743267419855,35.05876350402835,33.9012184143066,34.9731788635254
Patterson Park Neighborhood,36.10831076039204,36.119252204895005,34.8171539306641,35.3753929138184
Patterson Place,37.000355208672694,37.047836303710895,35.4878120422363,36.3098487854004
Pen Lucy,34.48579035125975,34.4361801147461,33.2408256530762,34.4133834838867
Penn North,35.50167159579629,35.489933013916,35.1282196044922,35.3474235534668
Penn-Fallsway,36.82878419277641,36.84365844726565,36.3054351806641,36.4651069641113
Penrose/Fayette Street Outreach,35.44318551372534,35.4697771072388,33.5855102539062,34.5818061828613
Perkins Homes,35.36098840089314,35.401818275451646,34.9575386047363,35.1267356872559
Perring Loch,34.60359464719204,34.652400970459,33.0433731079102,34.3308143615723
Pimlico Good Neighbors,35.05214275933655,35.03437423706055,34.0826530456543,34.3389549255371
Pleasant View Gardens,36.82631646666584,36.9230079650879,35.7712593078613,36.4578552246094
Poppleton,35.21167111503719,35.0993843078613,33.9670143127441,34.8775100708008
Port Covington,35.04701141170202,35.0070323944092,33.6258850097656,34.7535209655762
Pulaski Industrial Area,35.25448541277648,35.1527614593506,32.3065948486328,34.4765510559082
Purnell,32.901233921419596,32.9190006256104,31.558406829834,32.9455528259277
Radnor-Winston,34.444322522426724,34.4394207000732,33.861873626709,34.3086395263672
Ramblewood,34.76858778531069,34.7750301361084,34.3503189086914,34.6434059143066
Reisterstown Station,34.85217944812194,34.8682708740234,33.8831825256348,34.1467208862305
Remington,35.945265573194106,36.0467414855957,34.3418960571289,34.7890815734863
Reservoir Hill,35.595919450111374,35.5928020477295,34.7202339172363,35.4496688842773
Richnor Springs,34.634100908449675,34.6298713684082,34.4770812988281,34.6595001220703
Ridgely's Delight,35.5753160688238,35.5555114746094,35.2119636535645,35.4897575378418
Riverside,35.12490840951442,35.13447189331055,33.9340782165527,34.9216995239258
Rognel Heights,34.53985694892121,34.5233898162842,32.5892639160156,34.1635627746582
Roland Park,34.035191772608236,34.262961387634306,30.6535530090332,32.5461006164551
Rosebank,34.51030588526502,34.405345916748004,33.8737144470215,34.3986396789551
Rosemont,34.65906729452044,34.7011194229126,31.6900959014893,34.480884552002
Rosemont East,34.43700032447629,34.3819351196289,33.784538269043,34.325122833252
Rosemont Homeowners/Tenants,35.58679552673703,35.5634384155273,34.7443923950195,35.4722290039062
Sabina-Mattfeldt,35.05409812911262,35.11506938934325,33.824348449707,35.1552314758301
Saint Agnes,35.077527636829316,35.0267448425293,33.7949028015137,34.9675178527832
Saint Helena,34.96248183897269,35.1762800216675,33.6943016052246,34.820125579834
Saint Josephs,34.87711408545151,34.9659557342529,33.894660949707,34.5330085754395
Saint Paul,35.33818321905833,35.3721570968628,34.8420486450195,35.2394790649414
Sandtown-Winchester,35.29518407937524,35.2588272094727,34.4252738952637,34.9398002624512
Seton Business Park,34.77158875082453,34.8962497711182,30.98996925354,34.1114768981934
