objectid,nsa_name,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,acres,07_lid_mean,15_lid_mean,lid_change_percent,lid_change_percent_point
25,brooklyn,78.04385436130013,78.08148727416986,75.6638427734375,76.31649246215822,95.19177963011231,95.1767631530762,91.75303878784179,94.14038848876952,88.60369759336372,88.6372234344482,84.06447677612312,86.43199958801276,546.12130522,0.222596484254491,0.239696377789483,0.07682014202633122,0.017099893534992
26,burleith-leighton,77.81682609283433,77.66987762451164,76.94628715515128,77.66337165832526,95.063307779719,95.09254608154299,93.1659423828125,95.06828689575187,88.88708713074428,88.911893653869555,87.90213851928716,88.41241912841798,54.09849036,0.300135749467335,0.301951966160658,0.006051317434015497,0.0018162166933229917
27,butcher's hill,80.27298964002654,80.32952690124512,79.22618713378904,79.71776695251464,97.69263428089347,97.5793048858643,95.52254409790035,96.68048934936523,91.6773677761181,91.42155380249024,89.80882263183597,91.38090438842774,49.69167267,0.149909705472139,0.162476560150385,0.08382949348520718,0.012566854678246003
28,callaway-garrison,77.12735512636277,77.20826301574701,76.36508636474606,76.69470710754392,93.82630274906501,93.79323768615728,93.00251388549813,93.75710983276369,88.17383719239433,88.14840564727778,86.63239364624025,87.9954914093018,121.79471763,0.320935910869294,0.318795629415214,-0.006668874942298618,-0.0021402814540800175
29,cameron village,77.45828889250626,77.5101999282837,76.74375762939452,77.1931774139405,93.96928229519878,94.02235069274897,93.48601531982413,93.75402679443356,88.69288339424676,88.73613128662114,88.01195716857902,88.52548904418938,66.45875364,0.212190141025083,0.206822165249369,-0.02529795093109176,-0.00536797577571399
30,canton,80.08639403087338,80.08371124267586,78.98904724121095,79.4533638000488,95.54774057851164,95.64855728149418,92.373828125,93.8793052673339,90.38399857466025,90.31737289428716,87.76851043701164,89.48352775573724,365.10151151,0.055709051298221,0.076561354146212,0.37430726896361444,0.020852302847991
31,canton industrial area,80.34375223892141,80.47037334442136,76.76532173156738,78.03971519470214,94.862913093029,94.79796314239499,90.98232040405273,93.62794494628903,89.82897323013364,89.7321071624755,85.22895889282226,88.12260322570796,1592.61400747,0.023019356067017,0.024987463291325,0.08549792698710532,0.0019681072243079994
273,care,80.28855927463934,80.1351916313171,79.76474723815916,79.91840133666986,97.68246461384808,97.12047290801999,95.88733825683596,96.33382949829111,91.67062909720818,91.29978065490728,90.47534942626952,90.88231735229486,54.23404076,0.086367305610808,0.074919985590845,-0.13254228482647584,-0.011447320019963
32,carroll - camden industrial area,79.9179940699338,80.0372287750244,78.36636276245119,78.95817909240728,95.51767615523303,95.44136886596678,93.34351577758784,94.96588058471679,90.05505822067919,89.97582511901858,88.60701103210454,89.58533668518075,449.92938143,0.117476080660058,0.120123206323753,0.02253331613398835,0.002647125663695002
33,carroll park,79.19949732538076,79.44069004058841,76.89460334777834,78.89261131286618,95.22232938938942,94.98514442443843,92.62973403930668,95.0950523376464,90.24375073486435,90.43410263061523,88.20520324707039,89.63389968872072,220.13606683,0.21039290201159,0.229407858916228,0.0903783194339442,0.019014956904638003
