zcta,aland10,awater10,intptlat10,intptlon10,temp_mean_am,temp_median_am,temp_min_am,temp_max_am,temp_mean_aft,temp_median_aft,temp_min_aft,temp_max_aft,temp_mean_pm,temp_median_pm,temp_min_pm,temp_max_pm,white_%,black_%,otherrace_or_multirace_%,poverty_%,single_family_detached_houses_%,65+_%,0-17_%,disabled_%,renter_%,vacancy_%,home_median_price_d,median_household_income_d,median_age_a
21215,17646082,9673,39.3452409,-76.6835656,77.0554546777435,76.99156112670899,74.70027313232421,79.09962120056153,94.53503445535904,94.62790679931645,87.67112693786618,97.12892379760736,88.61220222733778,88.65509510040278,83.34546279907227,92.13212203979487,17.04262339236415,80.74203757322739,2.2153390344084585,25.59840653868608,19.997776377719305,17.975220523870448,22.44293313581577,18.109891589791932,50.799981870099266,18.23370270170107,122200,36500,41.8
21216,8635708,145490,39.3105945,-76.6717168,76.65761238263829,76.81100769042969,73.49713287353515,79.21572952270509,93.57084260114792,93.98787078857414,87.14713401794427,97.76963272094727,87.74042825918876,88.20849227905273,81.48087348937989,91.85666046142586,2.2672037820021975,95.24586343509671,2.4869327829010928,26.17729478504545,13.937212557488502,13.589905782867797,21.666611179545228,16.632819522588807,50.95475496190387,29.140838498966875,88900,37314,36.4
21217,5996500,191953,39.3084728,-76.6391545,78.6941813574303,78.68917713165283,76.44626502990724,81.6655158996582,95.68887652216958,95.76754608154297,92.95511474609384,98.9655220031738,90.35810617159814,90.42965660095214,87.07156524658203,92.34886169433597,10.576265623717966,85.23917621639362,4.184558159888411,36.66991507726577,2.240429569967134,13.54101140497224,23.890271586029595,19.41853786614884,68.79477454698694,34.092487154561866,130500,28116,35.1
21218,10835058,316361,39.3301071,-76.6014512,78.04573885653784,77.90883712768556,74.9652256011963,80.69835166931153,95.32180418813348,95.23146133422861,87.80854530334477,99.49300308227534,89.31161176955834,89.30912666320796,83.0526908874512,92.56584854125977,29.59541124654307,61.175868073338115,9.228720680118819,24.547429398986242,9.214068222938089,14.196456007374783,15.652975519819728,14.03052340469118,50.42619766940008,18.203080181810158,153700,43352,34.6
21222,28394454,5705215,39.26484,-76.4925655,78.18738346723413,78.41432495117188,74.64951629638672,81.6948184967041,94.78147337571524,95.05787048339846,87.30809059143074,97.21078567504881,88.70502458957108,88.94634780883784,82.79119911193844,92.18022155761713,77.9481842580928,11.745266655711964,10.306549086195242,14.372016158648549,34.738929849523565,16.377279947417428,22.94644976356101,18.60838765039893,35.1780185758514,10.869658948820765,143700,50644,39.7
21223,6816138,48191,39.2829512,-76.6538772,78.47426829323027,78.57732086181642,76.39478721618653,80.75096588134767,95.34408005675769,95.44959487915034,88.78277168273931,98.84756317138664,90.07111898557538,90.09875183105463,86.16781959533691,93.33471984863289,18.982823064969974,73.11746671706354,7.899710217966486,38.48148620499086,2.7685412751192717,11.13350972239721,27.344504640712273,25.983789005081686,66.78609817269796,39.47520601416799,68900,26899,34.6
21224,24534479,8880469,39.2748602,-76.5428334,79.7535253794786,80.0581714630127,75.37710647583009,81.99261665344238,95.26836795251936,95.27554397583015,87.72863693237312,101.29438323974605,89.84602268191976,89.75332107543937,84.64784736633297,94.30839691162106,69.89226210334203,16.445238141962832,13.662499754695133,17.651847586521853,8.90924229808493,9.955452636536688,20.478050120689993,12.520360303785544,41.94722008711248,14.479162101757307,195800,65501,33
21225,16768581,613825,39.2261173,-76.6157349,77.24018891320887,77.2480489730835,74.25978660583496,79.97344970703125,94.20194149336454,94.46009750366215,87.80230369567869,97.72402572631832,88.03824199523024,88.29157981872561,83.23279457092286,91.05370407104486,45.74103815035908,40.63816247992485,13.620799369716067,24.852323244625786,31.526090315331135,10.760279991515409,26.468894881973277,17.654010484530772,51.18877593883895,16.405646463937074,165700,41904,34.9
21226,25718275,17454348,39.2088881,-76.5629259,78.82797985511613,78.91438999176026,75.03827095031738,81.78638610839843,94.99356764889386,95.06192169189453,88.96854362487801,97.60922546386712,89.01923604023409,89.11687965393074,83.47106742858878,91.94862976074212,70.34749034749035,24.504504504504503,5.148005148005147,15.406525116519937,41.677135678391956,10.012870012870014,25.868725868725868,15.72715572715573,30.32849503437739,17.77638190954774,240900,73438,32.6
21227,29876646,556260,39.2399698,-76.6794498,76.80357210275116,76.98284759521485,73.82123641967775,81.21286888122559,93.72314062215375,94.19586944580087,87.14274291992191,97.37529220581062,87.82545615826892,88.37610244750977,82.12297286987311,91.67743225097654,72.49896834286388,14.602369863821258,12.898661793314867,16.485253332538097,44.431878157279655,12.379885633437482,23.993397394328834,11.914166126274834,38.86220602848625,8.949709718766494,207400,64692,34.4
21228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.47061038363385,20.066518847006652,12.462870769359494,6.3746477055140804,54.607192467973455,18.71522403045643,18.957871396895786,11.404426222649878,27.487603305785125,6.621392190152801,301100,85837,43.4
21229,15228872,9461,39.2842394,-76.6914035,76.93696492467342,77.20808448791504,73.69281654357911,80.03690605163575,93.3860742020987,93.86475524902346,86.60306701660153,97.8456787109375,87.52976846870756,88.00359039306645,81.5062038421631,91.59852294921885,16.89994815966822,76.182477967859,6.917573872472786,18.574373212182397,14.86930508557697,12.837739761534475,24.38154484188699,15.116640746500778,45.72291177457229,12.284831543327938,125700,47422,35
21230,16332049,5330203,39.2661273,-76.6238067,79.43022313989636,79.63291988372802,74.75858650207519,82.56000900268555,95.23399463973463,95.26861228942869,91.32052764892586,98.63132476806645,89.7628651992113,89.7985675811768,84.5912952423095,92.79395217895515,64.44874051418184,27.84718815823643,7.704071327581733,14.706222530650011,8.928676254769591,8.63317655884814,16.625789883717577,11.054043916091986,47.356679286100594,13.167009098914,247300,73762,32.1
21231,2256237,384066,39.2872004,-76.5919534,80.22179366039217,80.2212652206421,79.14992141723633,81.17798728942871,96.30350393625572,95.91853256225582,91.80206527709967,101.1529891967774,90.8469277772018,90.69185218811037,87.65020484924324,94.55902938842775,59.71068204913623,30.438161276824676,9.851156674039093,19.805194805194805,2.05219718938211,8.26110347301094,15.009863111961263,12.284057624484428,61.23595505617978,16.618335935757305,287100,69979,32.3
21234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.12653448003561,28.484256773248717,8.389208746715674,8.811878325237103,41.97784294558488,17.85668135938779,20.288877083662364,12.112162414392166,38.61735222951953,5.734767025089606,216700,61748,40.1
21236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.23194264358172,16.59420842549513,14.173848930923153,8.540261598201512,38.05256510494978,13.342485953270792,22.101034754531817,10.693310960262375,32.456823789118296,7.36753473266374,239200,77532,36.8
21237,29801576,659932,39.3415368,-76.4952701,77.09314558621881,77.16044845581055,73.796870803833,79.74531860351563,93.99273894022784,94.13182601928716,87.36865959167474,97.06320495605462,88.23554023475606,88.37474803924567,82.99214591979974,91.20562438964846,57.88266578028918,29.572876848928036,12.544457370782784,7.8988782856186175,46.99011680143755,15.07728103706166,21.05035732092405,11.374439089247133,36.192745565263436,7.449154618965939,217500,64758,38.9
21239,8377621,2110,39.367099,-76.5891708,76.63122913907597,76.74060249328613,74.37102317810059,78.60832977294922,93.6184997783345,93.83539428710944,87.17520751953117,95.78107299804694,87.94194447970077,88.08727703094482,83.23056297302253,90.21160888671884,13.79073756432247,80.78278496803368,5.426477467643849,11.91944371556022,11.75775712710663,14.798066427569001,20.08732262591611,12.661780757835647,45.556119857795835,6.961726256103323,146700,52811,36.1
21251,456625,0,39.344707,-76.581242,76.69146045223513,76.62402725219727,75.42585144042968,78.33274459838867,93.73729088001434,94.12734909057619,89.64883422851557,95.60120620727534,88.1332868487209,88.22028884887689,85.39557685852046,89.84170608520515,24.51759364358683,64.472190692395,11.010215664018162,NaN,NaN,0,2.1566401816118046,0.7945516458569807,NaN,NaN,NA,NA,20.3
